enrollment_id,organization_name,owner_count,individual_owner_count,private_equity_company_owner,reit_owner,holding_company_owner,investment_firm_owner,medical_staffing_company_owner,chain_home_office_owner,corporation_owner,llc_owner,non_profit_owner,for_profit_owner,trust_or_trustee_owner
O20030321000003,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,42,36,False,True,False,False,False,False,False,True,False,False,False
O20030321000006,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,15,13,False,False,False,False,False,False,False,True,False,False,False
O20030321000010,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,10,9,False,False,False,False,False,False,False,True,False,False,False
O20030321000018,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,16,14,False,False,False,False,False,False,False,True,False,False,False
O20030321000022,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,7,5,False,False,False,False,False,False,False,True,False,False,False
O20030321000026,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,42,36,False,True,False,False,False,False,False,True,False,False,False
O20030321000028,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,22,19,False,False,False,False,False,False,False,False,False,False,False
O20030321000029,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,16,14,False,False,False,False,False,False,False,True,False,False,False
O20030321000031,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,8,6,False,False,False,False,False,False,False,True,False,False,False
O20030324000029,"ONEOTA RIVERVIEW CARE FACILITY, INC.",14,13,False,False,False,False,False,False,True,False,False,True,False
O20030326000055,"AVANTE AT ST. CLOUD, INC.",11,6,False,False,False,False,False,False,True,False,False,True,True
O20030327000005,MOUNT CARMEL HOME KEENS MEMORIAL,16,16,False,False,False,False,False,False,False,False,False,False,False
O20030328000011,"PRESBYTERIAN VILLAGE, AUSTELL, INC.",21,20,False,False,False,False,False,False,True,False,True,False,False
O20030328000015,"PRESBYTERIAN HOME, QUITMAN, INC.",20,20,False,False,False,False,False,False,False,False,False,False,False
O20030329000001,WRMC HOSPITAL OPERATING CORPORATION,30,19,False,False,False,False,False,False,True,False,True,False,False
O20030330000004,JENKS LIVING CENTERS LLC,6,3,False,False,False,False,False,False,True,False,False,False,False
O20030330000005,EL RENO NURSING CENTER LLC,7,4,False,False,False,False,False,False,True,False,False,False,False
O20030331000013,"THE HURLBUT, LLC.",5,4,False,False,False,False,False,False,False,True,False,False,False
O20030331000033,WYANDOT COUNTY OFFICE OF AUDITOR,4,3,False,False,False,False,False,False,False,False,False,False,False
O20030331000034,SAINT JOSEPH RESIDENCE,10,9,False,False,False,False,False,False,False,False,False,False,False
O20030401000021,EVERGREEN LIVING INNOVATIONS INC,24,23,False,False,False,False,False,False,False,False,True,False,False
O20030401000024,HENNIS CARE CENTRE OF DOVER INC.,23,18,False,False,False,False,False,False,True,False,False,True,False
O20030402000032,C AND H HEALTHCARE LLC,17,11,False,False,False,False,True,False,False,True,False,False,False
O20030403000003,CHESTNUT POINT CARE CENTER LLC,10,7,False,False,False,False,False,False,False,True,False,False,False
O20030403000019,ARCHDALE NURSING CENTER INC,9,6,False,False,False,False,False,False,False,False,False,True,False
O20030403000029,"MORNING VIEW DELAWARE, INC",14,10,False,False,True,False,False,False,False,True,False,True,True
O20030404000009,POPLAR BLUFF NO 1 INC,23,12,False,False,True,False,False,False,True,True,False,False,False
O20030404000013,"PRESBYTERIAN HOMES, INC",13,12,False,False,False,False,False,False,False,False,True,False,False
O20030407000016,"BAYVIEW CENTER, LLC",6,4,False,False,False,False,False,False,False,True,False,False,False
O20030407000017,BRIDGEVIEW CENTER LLC,8,6,False,False,False,False,False,False,False,True,False,False,False
O20030407000018,COQUINA CENTER LLC,14,10,False,False,True,False,False,True,False,True,False,True,False
O20030407000029,FAIRWAY OAKS CENTER LLC,11,8,False,False,True,False,False,True,False,True,False,True,False
O20030408000002,HIGHLANDS LAKE CENTER LLC,6,4,False,False,False,False,False,False,False,True,False,False,False
O20030408000004,ISLAND LAKE CENTER LLC,14,10,False,False,True,False,False,False,False,True,False,True,False
O20030408000007,"INDIAN RIVER CENTER, LLC",14,10,False,False,True,False,False,True,False,True,False,True,False
O20030408000010,RULEME CENTER LLC,14,10,False,False,True,False,False,False,False,True,False,True,False
O20030408000014,RIVERWOOD CENTER LLC,5,3,False,False,False,False,False,False,False,True,False,False,False
O20030408000020,"TIERRA PINES CENTER, LLC",14,10,False,False,True,False,False,False,False,True,False,True,False
O20030409000004,"VIRGINIA HEALTH SERVICES, INC",16,14,False,False,False,False,False,False,False,False,False,False,False
O20030414000004,"LITCHFIELD RETIREMENT, LLC",15,9,False,True,False,False,False,False,False,True,False,False,True
O20030414000055,"CANYON PROPERTIES III, LLC",8,7,False,False,False,False,False,False,False,False,False,False,False
O20030416000025,"LAKEWOOD HEALTH CARE CENTER, INC.",22,17,False,False,False,False,False,False,True,True,False,False,False
O20030417000023,WILLAMETTE VIEW INC.,16,15,False,False,False,False,False,False,True,False,False,False,False
O20030418000004,MILLINGTON OPCO LP,10,7,False,False,False,False,False,False,False,True,False,True,False
O20030422000030,AUGUSTANA CHAPEL VIEW HOMES INC,38,34,False,False,False,False,False,True,True,False,True,False,False
