HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
L8698,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2019,12/31/9999,1,2022,01/01/2019,12/31/9999,0,0
Q4001,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4002,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4003,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4004,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4005,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4006,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4007,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4008,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4009,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4010,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4011,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4012,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4013,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4014,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4015,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4016,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4017,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4018,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4019,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4020,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4021,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4022,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4023,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4024,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4025,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4026,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4027,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4028,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4029,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4030,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4031,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4032,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4033,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4034,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4035,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
Q4036,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
