ZIP,Population_Total,Population_65Plus,ACS_Year
05851,6024,1344,2024-5yr
05853,743,205,2024-5yr
05855,7412,1816,2024-5yr
05857,1467,350,2024-5yr
05858,340,110,2024-5yr
05859,2123,354,2024-5yr
05860,2728,473,2024-5yr
05862,361,164,2024-5yr
05866,684,147,2024-5yr
05867,634,113,2024-5yr
05868,40,28,2024-5yr
05871,1524,348,2024-5yr
05872,809,318,2024-5yr
05873,864,173,2024-5yr
05874,568,159,2024-5yr
05875,542,205,2024-5yr
05901,9,2,2024-5yr
05902,104,22,2024-5yr
05903,801,243,2024-5yr
05904,187,54,2024-5yr
05905,968,298,2024-5yr
05906,1210,290,2024-5yr
05907,108,34,2024-5yr
06001,19153,4368,2024-5yr
06002,21865,5933,2024-5yr
06010,61684,9980,2024-5yr
06013,9680,1326,2024-5yr
06016,6959,1407,2024-5yr
06018,2587,362,2024-5yr
06019,9742,2311,2024-5yr
06020,0,0,2024-5yr
06021,1494,389,2024-5yr
06022,100,46,2024-5yr
06023,1196,298,2024-5yr
06024,634,103,2024-5yr
06026,5196,1106,2024-5yr
06027,1193,294,2024-5yr
06029,16238,3062,2024-5yr
06031,1520,366,2024-5yr
06032,19135,4289,2024-5yr
06033,29921,6207,2024-5yr
06035,7817,1821,2024-5yr
06037,19173,4488,2024-5yr
06039,1918,405,2024-5yr
06040,35813,5596,2024-5yr
06042,23822,3621,2024-5yr
06043,4853,955,2024-5yr
06051,29548,3990,2024-5yr
06052,7916,1440,2024-5yr
06053,36774,5374,2024-5yr
06057,6363,1245,2024-5yr
06058,1793,501,2024-5yr
06059,302,22,2024-5yr
06060,2273,435,2024-5yr
06061,312,240,2024-5yr
06062,17555,3520,2024-5yr
06063,3328,764,2024-5yr
06065,712,288,2024-5yr
06066,30577,5700,2024-5yr
06067,20872,4731,2024-5yr
06068,2034,725,2024-5yr
06069,2601,994,2024-5yr
06070,15254,3101,2024-5yr
06071,10723,2191,2024-5yr
06072,0,0,2024-5yr
06073,5372,1176,2024-5yr
06074,26907,4780,2024-5yr
06076,11953,2593,2024-5yr
06078,10562,2126,2024-5yr
06079,19,19,2024-5yr
06080,1616,86,2024-5yr
06081,1419,159,2024-5yr
06082,41090,7379,2024-5yr
06084,14823,2262,2024-5yr
06085,7608,1148,2024-5yr
06088,4254,1051,2024-5yr
06089,3728,743,2024-5yr
06090,1136,126,2024-5yr
06091,253,59,2024-5yr
06092,4665,636,2024-5yr
06093,3524,685,2024-5yr
06095,29670,5901,2024-5yr
06096,12579,2285,2024-5yr
06098,10263,2814,2024-5yr
06103,2949,107,2024-5yr
06105,19174,3085,2024-5yr
06106,36322,4655,2024-5yr
06107,19891,4042,2024-5yr
06108,23499,3350,2024-5yr
06109,27250,5551,2024-5yr
06110,12641,2192,2024-5yr
06111,30896,6555,2024-5yr
06112,22333,2810,2024-5yr
06114,26458,3079,2024-5yr
06117,16116,3633,2024-5yr
06118,27419,4207,2024-5yr
06119,14793,2550,2024-5yr
06120,13926,1170,2024-5yr
06226,19344,2148,2024-5yr
06231,3648,672,2024-5yr
06232,3152,604,2024-5yr
06234,8517,1497,2024-5yr
06235,2018,402,2024-5yr
06237,5300,1319,2024-5yr
06238,12326,2494,2024-5yr
06239,11185,2187,2024-5yr
06241,6585,1387,2024-5yr
06242,1290,337,2024-5yr
06243,83,5,2024-5yr
06247,2412,536,2024-5yr
06248,5509,1034,2024-5yr
06249,7116,1605,2024-5yr
06250,5437,1308,2024-5yr
06254,2004,348,2024-5yr
06255,4494,1429,2024-5yr
06256,1704,342,2024-5yr
06258,114,0,2024-5yr
06259,4568,834,2024-5yr
06260,9266,1721,2024-5yr
06262,813,189,2024-5yr
06263,498,10,2024-5yr
06264,139,21,2024-5yr
06266,222,44,2024-5yr
06268,11772,1511,2024-5yr
06269,7970,0,2024-5yr
06277,4004,612,2024-5yr
06278,4337,829,2024-5yr
06279,5575,1298,2024-5yr
06280,3110,943,2024-5yr
06281,7237,1424,2024-5yr
06282,1134,497,2024-5yr
06320,27703,4148,2024-5yr
06330,3327,664,2024-5yr
06331,5145,1313,2024-5yr
